draw,color
659,blue
660,blue
661,red
662,red
663,blue
664,blue
665,red
666,blue
667,red
668,red
669,red
670,blue
671,red
672,blue
673,blue
674,blue
675,blue
676,blue
677,blue
678,red
679,blue
680,blue
681,red
682,blue
683,red
684,red
685,blue
686,red
687,red
688,red
689,red
690,red
691,red
692,red
693,red
694,blue
695,blue
696,blue
697,red
698,red
699,red
700,red
701,red
702,blue
703,red
704,red
705,red
706,red
707,red
708,red
709,red
710,red
711,red
712,red
713,blue
714,red
715,blue
716,red
717,red
718,blue
719,blue
720,blue
721,red
722,blue
723,red
724,red
725,red
726,blue
727,blue
728,blue
729,blue
730,red
731,red
732,blue
733,red
734,blue
735,red
736,blue
737,red
738,blue
739,blue
740,red
741,blue
742,red
743,blue
744,blue
745,red
746,blue
747,red
748,blue
749,blue
750,red
751,red
752,blue
753,blue
754,red
755,blue
756,blue
757,red
758,blue
759,red
760,blue
761,blue
762,red
763,red
764,red
765,red
766,red
767,red
768,blue
769,blue
770,red
771,red
772,blue
773,red
774,blue
775,red
776,blue
777,red
778,red
779,blue
780,red
781,red
782,red
783,red
784,red
785,red
786,red
787,red
788,red
789,blue
790,blue
791,blue
792,blue
793,blue
794,blue
795,red
796,red
797,blue
798,blue
799,red
800,red
801,blue
802,blue
803,red
804,red
805,red
806,blue
807,red
808,blue
809,red
810,blue
811,blue
812,red
813,red
814,red
815,red
816,blue
817,red
818,blue
819,blue
820,red
821,blue
822,red
823,blue
824,red
825,blue
826,red
827,blue
828,red
829,red
830,blue
831,red
832,blue
833,blue
834,red
835,red
836,red
837,red
838,red
839,red
840,red
841,blue
842,blue
843,red
844,blue
845,blue
846,blue
847,blue
848,red
849,red
850,blue
851,red
852,blue
853,blue
854,red
855,red
856,blue
857,red
858,red
859,blue
860,red
861,blue
862,blue
863,blue
864,red
865,blue
866,red
867,blue
868,red
869,blue
870,blue
871,red
872,blue
873,blue
874,red
875,red
876,red
877,red
878,blue
879,red
880,red
881,blue
882,blue
883,red
884,red
885,red
886,red
887,blue
888,red
889,red
890,blue
891,red
892,red
893,red
894,red
895,blue
896,red
897,red
898,blue
899,red
900,blue
901,red
902,blue
903,red
904,red
905,red
906,red
907,red
908,blue
909,blue
910,red
911,red
912,blue
913,blue
914,blue
915,blue
916,red
917,red
918,blue
919,red
920,blue
921,blue
922,red
923,red
924,blue
925,blue
926,red
927,blue
928,red
929,blue
930,red
931,blue
932,red
933,red
934,red
935,red
936,red
937,blue
938,red
939,blue
940,blue
941,blue
942,blue
943,red
944,red
945,blue
946,blue
947,blue
948,blue
949,red
950,red
951,red
952,red
953,red
954,blue
955,blue
956,red
957,red
958,blue
959,blue
960,red
961,red
962,red
963,blue
964,blue
965,red
966,blue
967,red
968,red
969,red
970,blue
971,red
972,blue
973,red
974,red
975,red
976,red
977,red
978,red
979,red
980,red
981,blue
982,blue
983,blue
984,red
985,red
986,red
987,red
988,red
989,blue
990,blue
991,red
992,red
993,red
994,red
995,blue
996,blue
997,red
998,blue
999,blue
1000,red
1001,red
1002,red
1003,blue
1004,red
1005,blue
1006,red
1007,blue
1008,red
1009,red
1010,blue
1011,red
1012,red
1013,red
1014,red
1015,blue
1016,red
1017,blue
1018,red
1019,blue
1020,blue
1021,blue
1022,red
1023,blue
1024,blue
1025,red
1026,blue
1027,red
1028,red
1029,red
1030,red
1031,red
1032,blue
1033,red
1034,blue
1035,blue
1036,blue
1037,red
1038,red
1039,blue
1040,blue
1041,blue
1042,blue
1043,red
1044,red
1045,red
1046,red
1047,blue
1048,red
1049,blue
1050,red
1051,red
1052,red
1053,blue
1054,blue
1055,red
1056,blue
1057,blue
1058,red
1059,blue
1060,red
1061,blue
1062,blue
1063,red
1064,red
1065,blue
1066,blue
1067,red
1068,red
1069,blue
1070,red
1071,red
1072,red
1073,blue
1074,red
1075,red
1076,blue
1077,red
1078,blue
1079,red
1080,blue
1081,red
1082,red
1083,red
1084,red
1085,blue
1086,red
1087,blue
1088,red
1089,red
1090,red
1091,blue
1092,blue
1093,blue
1094,red
1095,blue
1096,red
1097,blue
1098,blue
1099,red
1100,red
1101,red
1102,red
1103,blue
1104,red
1105,red
1106,blue
1107,red
1108,blue
1109,blue
1110,red
1111,blue
1112,blue
1113,blue
1114,blue
1115,red
1116,red
1117,red
1118,blue
1119,blue
1120,red
1121,red
1122,red
1123,red
1124,red
1125,blue
1126,red
1127,red
1128,blue
1129,red
1130,blue
1131,red
1132,blue
1133,blue
1134,blue
1135,blue
1136,red
1137,red
1138,blue
1139,red
1140,red
1141,blue
1142,red
1143,red
1144,blue
1145,blue
1146,blue
1147,red
1148,red
1149,blue
1150,blue
1151,blue
1152,blue
1153,blue
1154,blue
1155,red
1156,red
1157,blue
1158,blue
1159,red
1160,red
1161,red
1162,red
1163,blue
1164,red
1165,red
1166,red
1167,red
1168,blue
1169,red
1170,red
1171,red
1172,red
1173,red
1174,blue
1175,blue
1176,red
1177,red
1178,red
1179,red
1180,blue
1181,red
1182,red
1183,blue
1184,blue
1185,blue
1186,red
1187,red
1188,red
1189,blue
1190,blue
1191,red
1192,blue
1193,red
1194,blue
1195,red
1196,red
1197,blue
1198,red
1199,red
1200,blue
1201,red
1202,blue
1203,red
1204,red
1205,red
1206,red
1207,red
1208,red
1209,red
1210,blue
1211,blue
1212,red
1213,red
1214,red
1215,red
1216,red
1217,blue
1218,red
1219,red
1220,blue
1221,red
1222,blue
1223,blue
1224,red
1225,blue
1226,blue
1227,red
1228,blue
1229,red
1230,red
1231,red
1232,red
1233,red
1234,red
1235,red
1236,red
1237,blue
1238,blue
1239,red
1240,red
1241,blue
1242,red
1243,blue
1244,blue
1245,red
1246,blue
1247,blue
1248,red
1249,red
1250,blue
1251,red
1252,red
1253,red
1254,blue
1255,red
1256,red
1257,blue
1258,red
1259,blue
1260,blue
1261,red
1262,red
1263,blue
1264,blue
1265,red
1266,blue
1267,red
1268,red
1269,blue
1270,red
1271,red
1272,blue
1273,red
1274,blue
1275,blue
1276,red
1277,blue
1278,blue
1279,red
1280,red
1281,blue
1282,red
1283,red
1284,blue
1285,blue
1286,blue
1287,red
1288,blue
1289,red
1290,red
1291,blue
1292,red
1293,red
1294,red
1295,red
1296,blue
1297,red
1298,red
1299,red
1300,red
1301,blue
1302,blue
1303,red
1304,red
1305,red
1306,blue
1307,blue
1308,red
1309,red
1310,blue
1311,red
1312,blue
1313,red
1314,blue
1315,blue
1316,blue
1317,red
1318,red
1319,red
1320,red
1321,red
1322,red
1323,red
1324,blue
1325,red
1326,blue
1327,blue
1328,blue
1329,blue
1330,red
1331,blue
1332,red
1333,red
1334,blue
1335,blue
1336,blue
1337,red
1338,red
1339,blue
1340,red
1341,blue
1342,red
1343,red
1344,red
1345,red
1346,red
1347,red
1348,red
1349,red
1350,red
1351,red
1352,red
1353,red
1354,red
1355,red
1356,red
1357,red
1358,blue
1359,blue
1360,blue
1361,red
1362,blue
1363,red
1364,red
1365,blue
1366,red
1367,blue
1368,red
1369,red
1370,red
1371,red
1372,red
1373,blue
1374,red
1375,blue
1376,red
1377,blue
1378,blue
1379,red
1380,red
1381,blue
1382,blue
1383,blue
1384,red
1385,blue
1386,blue
1387,red
1388,red
1389,blue
1390,red
1391,red
1392,red
1393,red
1394,blue
1395,blue
1396,blue
1397,blue
1398,red
1399,red
1400,blue
1401,red
1402,red
1403,blue
1404,blue
1405,red
1406,red
1407,blue
1408,blue
1409,red
1410,red
1411,red
1412,blue
1413,red
1414,red
1415,red
1416,red
1417,red
1418,red
1419,red
1420,blue
1421,red
1422,blue
1423,red
1424,blue
1425,red
1426,blue
1427,red
1428,red
1429,blue
1430,red
1431,red
1432,red
1433,blue
1434,blue
1435,red
1436,red
1437,red
1438,blue
1439,red
1440,red
1441,blue
1442,red
1443,red
1444,red
1445,red
1446,red
1447,red
1448,red
1449,blue
1450,red
1451,blue
1452,red
1453,red
1454,red
1455,blue
1456,red
1457,blue
1458,red
1459,blue
1460,blue
1461,blue
1462,red
1463,red
1464,red
1465,red
1466,blue
1467,red
1468,red
1469,red
1470,blue
1471,blue
1472,red
1473,blue
1474,blue
1475,red
1476,blue
1477,red
1478,blue
1479,red
1480,red
1481,red
1482,red
1483,red
1484,blue
1485,red
1486,red
1487,blue
1488,blue
1489,red
1490,red
1491,red
1492,red
1493,red
1494,red
1495,red
1496,blue
1497,red
1498,red
1499,blue
1500,blue
1501,red
1502,blue
1503,red
1504,blue
1505,red
1506,blue
1507,red
1508,red
1509,blue
1510,red
1511,red
1512,blue
1513,blue
1514,blue
1515,red
1516,red
1517,red
1518,blue
1519,blue
1520,red
1521,blue
1522,blue
1523,blue
1524,red
1525,red
1526,blue
1527,blue
1528,red
1529,blue
1530,blue
1531,red
1532,red
1533,red
1534,red
1535,blue
1536,red
1537,red
1538,blue
1539,red
1540,red
1541,blue
1542,red
1543,red
1544,red
1545,red
1546,blue
1547,red
1548,blue
1549,blue
1550,blue
1551,red
1552,red
1553,red
1554,blue
1555,blue
1556,red
1557,blue
1558,red
1559,red
1560,red
1561,blue
1562,red
1563,blue
1564,red
1565,blue
1566,red
1567,blue
1568,red
1569,red
1570,red
1571,red
1572,blue
1573,blue
1574,blue
1575,red
1576,blue
1577,blue
1578,red
1579,red
1580,blue
1581,blue
1582,red
1583,red
1584,red
1585,red
1586,red
1587,blue
1588,blue
1589,blue
1590,blue
1591,red
1592,blue
1593,red
1594,red
1595,blue
1596,red
1597,red
1598,red
1599,red
1600,red
1601,red
1602,red
1603,blue
1604,blue
1605,blue
1606,red
1607,blue
1608,blue
1609,blue
1610,blue
1611,red
1612,blue
1613,red
1614,red
1615,blue
1616,red
1617,red
1618,blue
1619,blue
1620,red
1621,blue
1622,red
1623,red
1624,red
1625,red
1626,red
1627,red
1628,blue
1629,red
1630,red
1631,red
1632,blue
1633,blue
1634,blue
1635,red
1636,blue
1637,blue
1638,red
1639,red
1640,red
1641,red
1642,blue
1643,red
1644,red
1645,red
1646,blue
1647,red
1648,red
1649,red
1650,blue
1651,red
1652,blue
1653,red
1654,red
1655,blue
1656,red
1657,blue
1658,red
1659,blue
1660,red
1661,red
1662,red
1663,red
1664,red
1665,blue
1666,blue
1667,red
1668,blue
1669,blue
1670,red
1671,red
1672,blue
1673,red
1674,red
1675,red
1676,red
1677,blue
1678,red
1679,red
1680,red
1681,blue
1682,red
1683,red
1684,red
1685,red
1686,red
1687,red
1688,red
1689,red
1690,red
1691,red
1692,blue
1693,blue
1694,blue
1695,red
1696,blue
1697,blue
1698,blue
1699,blue
1700,red
1701,red
1702,blue
1703,blue
1704,red
1705,blue
1706,red
1707,red
1708,red
1709,blue
1710,red
1711,red
1712,red
1713,red
1714,blue
1715,red
1716,blue
1717,blue
1718,red
1719,blue
1720,red
1721,red
1722,red
1723,red
1724,blue
1725,blue
1726,blue
1727,blue
1728,red
1729,blue
1730,red
1731,blue
1732,red
1733,blue
1734,blue
1735,red
1736,red
1737,red
1738,red
1739,red
1740,blue
1741,red
1742,red
1743,red
1744,red
1745,red
1746,red
1747,blue
1748,blue
1749,red
1750,red
1751,blue
1752,blue
1753,red
1754,blue
1755,blue
1756,red
1757,red
1758,red
1759,red
1760,red
1761,blue
1762,red
1763,blue
1764,red
1765,red
1766,red
1767,red
1768,red
1769,blue
1770,red
1771,red
1772,red
1773,red
1774,blue
1775,blue
1776,blue
1777,blue
1778,red
1779,red
1780,red
1781,blue
1782,blue
1783,blue
1784,red
1785,red
1786,blue
1787,blue
1788,red
1789,blue
1790,red
1791,blue
1792,red
1793,red
1794,blue
1795,red
1796,red
1797,red
1798,red
1799,blue
1800,red
1801,red
1802,red
1803,blue
1804,red
1805,red
1806,blue
1807,blue
1808,red
1809,red
1810,blue
1811,red
1812,red
1813,red
1814,red
1815,red
1816,red
1817,red
1818,red
1819,blue
1820,red
1821,red
1822,red
1823,red
1824,red
1825,blue
1826,red
1827,red
1828,red
1829,blue
1830,red
1831,red
1832,red
1833,red
1834,red
1835,red
1836,red
1837,red
1838,red
1839,blue
1840,blue
1841,blue
1842,red
1843,red
1844,red
1845,red
1846,blue
1847,blue
1848,blue
1849,blue
1850,red
1851,red
1852,red
1853,red
1854,red
1855,red
1856,blue
1857,blue
1858,blue
1859,red
1860,blue
1861,blue
1862,red
1863,red
1864,blue
1865,blue
1866,red
1867,red
1868,red
1869,blue
1870,red
1871,red
1872,blue
1873,red
1874,red
1875,blue
1876,red
1877,red
1878,red
1879,blue
1880,red
1881,red
1882,blue
1883,red
1884,red
1885,red
1886,red
1887,red
1888,blue
1889,red
1890,blue
1891,red
1892,red
1893,red
1894,red
1895,red
1896,red
1897,red
1898,blue
1899,blue
1900,red
1901,red
1902,blue
1903,blue
1904,red
1905,red
1906,blue
1907,red
1908,blue
1909,red
1910,red
1911,red
1912,blue
1913,red
1914,blue
1915,blue
1916,blue
1917,red
1918,red
1919,blue
1920,red
1921,blue
1922,blue
1923,red
1924,red
1925,red
1926,blue
1927,blue
1928,red
1929,blue
1930,blue
1931,red
1932,red
1933,red
1934,blue
1935,red
1936,red
1937,blue
1938,blue
1939,red
1940,red
1941,red
1942,blue
1943,blue
1944,red
1945,blue
1946,blue
1947,red
1948,red
1949,red
1950,blue
1951,red
1952,blue
1953,red
1954,red
1955,red
1956,red
1957,red
1958,red
1959,blue
1960,red
1961,red
1962,blue
1963,red
1964,red
1965,blue
1966,blue
1967,blue
1968,blue
1969,red
1970,red
1971,red
1972,red
1973,red
1974,red
1975,red
1976,blue
1977,red
1978,red
1979,blue
1980,red
1981,red
1982,red
1983,blue
1984,red
1985,red
1986,red
1987,blue
1988,red
1989,red
1990,blue
1991,red
1992,blue
1993,blue
1994,blue
1995,red
1996,red
1997,red
1998,blue
1999,red
2000,blue
